"anio","mes","ipc_base_diciembre_2022"
"2002","1","0.4335780307"
"2002","2","0.4471707714"
"2002","3","0.4648891044"
"2002","4","0.5131802472"
"2002","5","0.5337647811"
"2002","6","0.5530899237"
"2002","7","0.5707214021"
"2002","8","0.5840970064"
"2002","9","0.5919573453"
"2002","10","0.5932601639"
"2002","11","0.596300074"
"2002","12","0.5974291835"
"2003","1","0.6052895224"
"2003","2","0.608720278"
"2003","3","0.6122813155"
"2003","4","0.6126287338"
"2003","5","0.610240233"
"2003","6","0.6097191056"
"2003","7","0.6124550247"
"2003","8","0.6125853065"
"2003","9","0.6128458703"
"2003","10","0.616450335"
"2003","11","0.6179702901"
"2003","12","0.6192731087"
"2004","1","0.6218787459"
"2004","2","0.6224867279"
"2004","3","0.6262214746"
"2004","4","0.6315630308"
"2004","5","0.6353412048"
"2004","6","0.639770788"
"2004","7","0.6427238435"
"2004","8","0.6449386351"
"2004","9","0.6490208001"
"2004","10","0.65158301"
"2004","11","0.65158301"
"2004","12","0.6570548481"
"2005","1","0.6667825604"
"2005","2","0.6731229442"
"2005","3","0.6835020658"
"2005","4","0.6868459668"
"2005","5","0.6909715591"
"2005","6","0.6973119429"
"2005","7","0.7043037361"
"2005","8","0.7073870734"
"2005","9","0.7156382579"
"2005","10","0.7211969506"
"2005","11","0.7299258353"
"2005","12","0.7380467379"
"2006","1","0.7474704591"
"2006","2","0.7504235146"
"2006","3","0.7594563902"
"2006","4","0.766839029"
"2006","5","0.7704434938"
"2006","6","0.7741782404"
"2006","7","0.778955242"
"2006","8","0.7833413979"
"2006","9","0.7903766184"
"2006","10","0.7971512751"
"2006","11","0.8027968224"
"2006","12","0.8106571613"
"2007","1","0.8228168016"
"2007","2","0.8302428676"
"2007","3","0.8418379531"
"2007","4","0.8620316415"
"2007","5","0.8792722743"
"2007","6","0.9012899087"
"2007","7","0.9201807784"
"2007","8","0.9487125058"
"2007","9","0.9648674564"
"2007","10","0.9802841432"
"2007","11","0.9989144492"
"2007","12","1.018891001"
"2008","1","1.040300653"
"2008","2","1.05380654"
"2008","3","1.087549541"
"2008","4","1.111477976"
"2008","5","1.129239737"
"2008","6","1.152951035"
"2008","7","1.177183461"
"2008","8","1.200721051"
"2008","9","1.217527411"
"2008","10","1.230903015"
"2008","11","1.239545045"
"2008","12","1.253181213"
"2009","1","1.272245792"
"2009","2","1.283363177"
"2009","3","1.298693009"
"2009","4","1.314022842"
"2009","5","1.323750554"
"2009","6","1.332175448"
"2009","7","1.348634389"
"2009","8","1.366526431"
"2009","9","1.382464246"
"2009","10","1.396838677"
"2009","11","1.415338702"
"2009","12","1.44065681"
"2010","1","1.474486666"
"2010","2","1.517653389"
"2010","3","1.561297812"
"2010","4","1.588657003"
"2010","5","1.607417591"
"2010","6","1.633169972"
"2010","7","1.664220482"
"2010","8","1.68953859"
"2010","9","1.712337916"
"2010","10","1.755982339"
"2010","11","1.778303964"
"2010","12","1.802970663"
"2011","1","1.841620948"
"2011","2","1.868545866"
"2011","3","1.905502487"
"2011","4","1.942763099"
"2011","5","1.976028401"
"2011","6","1.998958008"
"2011","7","2.024840671"
"2011","8","2.058496818"
"2011","9","2.093716348"
