"anio","mes","programa_nivel_beneficio","beneficio_percibido_pesos_corrientes"
"2002","1","Pensiones no contributivas por invalidez con bonos","105"
"2002","1","Pensiones no contributivas por invalidez sin bonos","105"
"2002","1","Pensiones no contributivas por vejez con bonos","105"
"2002","1","Pensiones no contributivas por vejez sin bonos","105"
"2002","1","Pensiones no contributivas para madres de 7 o más hijos con bonos","150"
"2002","1","Pensiones no contributivas para madres de 7 o más hijos sin bonos","150"
"2002","1","ProHuerta",
"2002","1","Jefes de hogar",
"2002","2","Pensiones no contributivas por invalidez con bonos","105"
"2002","2","Pensiones no contributivas por invalidez sin bonos","105"
"2002","2","Pensiones no contributivas por vejez con bonos","105"
"2002","2","Pensiones no contributivas por vejez sin bonos","105"
"2002","2","Pensiones no contributivas para madres de 7 o más hijos con bonos","150"
"2002","2","Pensiones no contributivas para madres de 7 o más hijos sin bonos","150"
"2002","2","ProHuerta",
"2002","2","Jefes de hogar",
"2002","3","Pensiones no contributivas por invalidez con bonos","105"
"2002","3","Pensiones no contributivas por invalidez sin bonos","105"
"2002","3","Pensiones no contributivas por vejez con bonos","105"
"2002","3","Pensiones no contributivas por vejez sin bonos","105"
"2002","3","Pensiones no contributivas para madres de 7 o más hijos con bonos","150"
"2002","3","Pensiones no contributivas para madres de 7 o más hijos sin bonos","150"
"2002","3","ProHuerta",
"2002","3","Jefes de hogar",
"2002","4","Pensiones no contributivas por invalidez con bonos","105"
"2002","4","Pensiones no contributivas por invalidez sin bonos","105"
"2002","4","Pensiones no contributivas por vejez con bonos","105"
"2002","4","Pensiones no contributivas por vejez sin bonos","105"
"2002","4","Pensiones no contributivas para madres de 7 o más hijos con bonos","150"
"2002","4","Pensiones no contributivas para madres de 7 o más hijos sin bonos","150"
"2002","4","ProHuerta",
"2002","4","Jefes de hogar",
"2002","5","Pensiones no contributivas por invalidez con bonos","105"
"2002","5","Pensiones no contributivas por invalidez sin bonos","105"
"2002","5","Pensiones no contributivas por vejez con bonos","105"
"2002","5","Pensiones no contributivas por vejez sin bonos","105"
"2002","5","Pensiones no contributivas para madres de 7 o más hijos con bonos","150"
"2002","5","Pensiones no contributivas para madres de 7 o más hijos sin bonos","150"
"2002","5","ProHuerta",
"2002","5","Jefes de hogar",
"2002","6","Pensiones no contributivas por invalidez con bonos","158"
"2002","6","Pensiones no contributivas por invalidez sin bonos","158"
"2002","6","Pensiones no contributivas por vejez con bonos","157.5"
"2002","6","Pensiones no contributivas por vejez sin bonos","157.5"
"2002","6","Pensiones no contributivas para madres de 7 o más hijos con bonos","225"
"2002","6","Pensiones no contributivas para madres de 7 o más hijos sin bonos","225"
"2002","6","ProHuerta",
"2002","6","Jefes de hogar",
"2002","7","Pensiones no contributivas por invalidez con bonos","105"
"2002","7","Pensiones no contributivas por invalidez sin bonos","105"
"2002","7","Pensiones no contributivas por vejez con bonos","105"
"2002","7","Pensiones no contributivas por vejez sin bonos","105"
"2002","7","Pensiones no contributivas para madres de 7 o más hijos con bonos","150"
"2002","7","Pensiones no contributivas para madres de 7 o más hijos sin bonos","150"
"2002","7","ProHuerta",
"2002","7","Jefes de hogar",
"2002","8","Pensiones no contributivas por invalidez con bonos","105"
"2002","8","Pensiones no contributivas por invalidez sin bonos","105"
"2002","8","Pensiones no contributivas por vejez con bonos","105"
"2002","8","Pensiones no contributivas por vejez sin bonos","105"
"2002","8","Pensiones no contributivas para madres de 7 o más hijos con bonos","150"
"2002","8","Pensiones no contributivas para madres de 7 o más hijos sin bonos","150"
"2002","8","ProHuerta",
"2002","8","Jefes de hogar",
"2002","9","Pensiones no contributivas por invalidez con bonos","105"
"2002","9","Pensiones no contributivas por invalidez sin bonos","105"
"2002","9","Pensiones no contributivas por vejez con bonos","105"
"2002","9","Pensiones no contributivas por vejez sin bonos","105"
"2002","9","Pensiones no contributivas para madres de 7 o más hijos con bonos","150"
"2002","9","Pensiones no contributivas para madres de 7 o más hijos sin bonos","150"
"2002","9","ProHuerta",
"2002","9","Jefes de hogar",
"2002","10","Pensiones no contributivas por invalidez con bonos","105"
"2002","10","Pensiones no contributivas por invalidez sin bonos","105"
"2002","10","Pensiones no contributivas por vejez con bonos","105"
"2002","10","Pensiones no contributivas por vejez sin bonos","105"
"2002","10","Pensiones no contributivas para madres de 7 o más hijos con bonos","150"
"2002","10","Pensiones no contributivas para madres de 7 o más hijos sin bonos","150"
"2002","10","ProHuerta",
"2002","10","Jefes de hogar",
"2002","11","Pensiones no contributivas por invalidez con bonos","105"
"2002","11","Pensiones no contributivas por invalidez sin bonos","105"
"2002","11","Pensiones no contributivas por vejez con bonos","105"
"2002","11","Pensiones no contributivas por vejez sin bonos","105"
"2002","11","Pensiones no contributivas para madres de 7 o más hijos con bonos","150"
"2002","11","Pensiones no contributivas para madres de 7 o más hijos sin bonos","150"
"2002","11","ProHuerta",
"2002","11","Jefes de hogar",
"2002","12","Pensiones no contributivas por invalidez con bonos","158"
"2002","12","Pensiones no contributivas por invalidez sin bonos","158"
"2002","12","Pensiones no contributivas por vejez con bonos","157.5"
"2002","12","Pensiones no contributivas por vejez sin bonos","157.5"
"2002","12","Pensiones no contributivas para madres de 7 o más hijos con bonos","225"
"2002","12","Pensiones no contributivas para madres de 7 o más hijos sin bonos","225"
"2002","12","ProHuerta",
"2002","12","Jefes de hogar",
"2003","1","Pensiones no contributivas por invalidez con bonos","105"
"2003","1","Pensiones no contributivas por invalidez sin bonos","105"
"2003","1","Pensiones no contributivas por vejez con bonos","105"
"2003","1","Pensiones no contributivas por vejez sin bonos","105"
"2003","1","Pensiones no contributivas para madres de 7 o más hijos con bonos","150"
"2003","1","Pensiones no contributivas para madres de 7 o más hijos sin bonos","150"
"2003","1","ProHuerta",
"2003","1","Programa de empleo comunitario",
"2003","1","Jefes de hogar",
"2003","2","Pensiones no contributivas por invalidez con bonos","105"
"2003","2","Pensiones no contributivas por invalidez sin bonos","105"
"2003","2","Pensiones no contributivas por vejez con bonos","105"
"2003","2","Pensiones no contributivas por vejez sin bonos","105"
"2003","2","Pensiones no contributivas para madres de 7 o más hijos con bonos","150"
"2003","2","Pensiones no contributivas para madres de 7 o más hijos sin bonos","150"
"2003","2","ProHuerta",
"2003","2","Programa de empleo comunitario",
"2003","2","Jefes de hogar",
"2003","3","Pensiones no contributivas por invalidez con bonos","105"
"2003","3","Pensiones no contributivas por invalidez sin bonos","105"
"2003","3","Pensiones no contributivas por vejez con bonos","105"
"2003","3","Pensiones no contributivas por vejez sin bonos","105"
"2003","3","Pensiones no contributivas para madres de 7 o más hijos con bonos","150"
"2003","3","Pensiones no contributivas para madres de 7 o más hijos sin bonos","150"
"2003","3","ProHuerta",
"2003","3","Programa de empleo comunitario",
"2003","3","Jefes de hogar",
"2003","4","Pensiones no contributivas por invalidez con bonos","105"
"2003","4","Pensiones no contributivas por invalidez sin bonos","105"
"2003","4","Pensiones no contributivas por vejez con bonos","105"
"2003","4","Pensiones no contributivas por vejez sin bonos","105"
"2003","4","Pensiones no contributivas para madres de 7 o más hijos con bonos","150"
"2003","4","Pensiones no contributivas para madres de 7 o más hijos sin bonos","150"
"2003","4","ProHuerta",
"2003","4","Programa de empleo comunitario",
"2003","4","Jefes de hogar",
