"anio","mes","programa_nivel_beneficio","beneficio_percibido_pesos_constantes"
"2002","1","Pensiones no contributivas por invalidez con bonos","171687.08"
"2002","1","Pensiones no contributivas por invalidez sin bonos","171687.08"
"2002","1","Pensiones no contributivas por vejez con bonos","171687.08"
"2002","1","Pensiones no contributivas por vejez sin bonos","171687.08"
"2002","1","Pensiones no contributivas para madres de 7 o más hijos con bonos","245267.25"
"2002","1","Pensiones no contributivas para madres de 7 o más hijos sin bonos","245267.25"
"2002","1","ProHuerta",
"2002","1","Jefes de hogar",
"2002","2","Pensiones no contributivas por invalidez con bonos","166468.27"
"2002","2","Pensiones no contributivas por invalidez sin bonos","166468.27"
"2002","2","Pensiones no contributivas por vejez con bonos","166468.27"
"2002","2","Pensiones no contributivas por vejez sin bonos","166468.27"
"2002","2","Pensiones no contributivas para madres de 7 o más hijos con bonos","237811.81"
"2002","2","Pensiones no contributivas para madres de 7 o más hijos sin bonos","237811.81"
"2002","2","ProHuerta",
"2002","2","Jefes de hogar",
"2002","3","Pensiones no contributivas por invalidez con bonos","160123.66"
"2002","3","Pensiones no contributivas por invalidez sin bonos","160123.66"
"2002","3","Pensiones no contributivas por vejez con bonos","160123.66"
"2002","3","Pensiones no contributivas por vejez sin bonos","160123.66"
"2002","3","Pensiones no contributivas para madres de 7 o más hijos con bonos","228748.08"
"2002","3","Pensiones no contributivas para madres de 7 o más hijos sin bonos","228748.08"
"2002","3","ProHuerta",
"2002","3","Jefes de hogar",
"2002","4","Pensiones no contributivas por invalidez con bonos","145055.75"
"2002","4","Pensiones no contributivas por invalidez sin bonos","145055.75"
"2002","4","Pensiones no contributivas por vejez con bonos","145055.75"
"2002","4","Pensiones no contributivas por vejez sin bonos","145055.75"
"2002","4","Pensiones no contributivas para madres de 7 o más hijos con bonos","207222.5"
"2002","4","Pensiones no contributivas para madres de 7 o más hijos sin bonos","207222.5"
"2002","4","ProHuerta",
"2002","4","Jefes de hogar",
"2002","5","Pensiones no contributivas por invalidez con bonos","139461.7"
"2002","5","Pensiones no contributivas por invalidez sin bonos","139461.7"
"2002","5","Pensiones no contributivas por vejez con bonos","139461.7"
"2002","5","Pensiones no contributivas por vejez sin bonos","139461.7"
"2002","5","Pensiones no contributivas para madres de 7 o más hijos con bonos","199231"
"2002","5","Pensiones no contributivas para madres de 7 o más hijos sin bonos","199231"
"2002","5","ProHuerta",
"2002","5","Jefes de hogar",
"2002","6","Pensiones no contributivas por invalidez con bonos","202524.19"
"2002","6","Pensiones no contributivas por invalidez sin bonos","202524.19"
"2002","6","Pensiones no contributivas por vejez con bonos","201883.29"
"2002","6","Pensiones no contributivas por vejez sin bonos","201883.29"
"2002","6","Pensiones no contributivas para madres de 7 o más hijos con bonos","288404.71"
"2002","6","Pensiones no contributivas para madres de 7 o más hijos sin bonos","288404.71"
"2002","6","ProHuerta",
"2002","6","Jefes de hogar",
"2002","7","Pensiones no contributivas por invalidez con bonos","130430.97"
"2002","7","Pensiones no contributivas por invalidez sin bonos","130430.97"
"2002","7","Pensiones no contributivas por vejez con bonos","130430.97"
"2002","7","Pensiones no contributivas por vejez sin bonos","130430.97"
"2002","7","Pensiones no contributivas para madres de 7 o más hijos con bonos","186329.95"
"2002","7","Pensiones no contributivas para madres de 7 o más hijos sin bonos","186329.95"
"2002","7","ProHuerta",
"2002","7","Jefes de hogar",
"2002","8","Pensiones no contributivas por invalidez con bonos","127444.15"
"2002","8","Pensiones no contributivas por invalidez sin bonos","127444.15"
"2002","8","Pensiones no contributivas por vejez con bonos","127444.15"
"2002","8","Pensiones no contributivas por vejez sin bonos","127444.15"
"2002","8","Pensiones no contributivas para madres de 7 o más hijos con bonos","182063.07"
"2002","8","Pensiones no contributivas para madres de 7 o más hijos sin bonos","182063.07"
"2002","8","ProHuerta",
"2002","8","Jefes de hogar",
"2002","9","Pensiones no contributivas por invalidez con bonos","125751.87"
"2002","9","Pensiones no contributivas por invalidez sin bonos","125751.87"
"2002","9","Pensiones no contributivas por vejez con bonos","125751.87"
"2002","9","Pensiones no contributivas por vejez sin bonos","125751.87"
"2002","9","Pensiones no contributivas para madres de 7 o más hijos con bonos","179645.53"
"2002","9","Pensiones no contributivas para madres de 7 o más hijos sin bonos","179645.53"
"2002","9","ProHuerta",
"2002","9","Jefes de hogar",
"2002","10","Pensiones no contributivas por invalidez con bonos","125475.72"
"2002","10","Pensiones no contributivas por invalidez sin bonos","125475.72"
"2002","10","Pensiones no contributivas por vejez con bonos","125475.72"
"2002","10","Pensiones no contributivas por vejez sin bonos","125475.72"
"2002","10","Pensiones no contributivas para madres de 7 o más hijos con bonos","179251.02"
"2002","10","Pensiones no contributivas para madres de 7 o más hijos sin bonos","179251.02"
"2002","10","ProHuerta",
"2002","10","Jefes de hogar",
"2002","11","Pensiones no contributivas por invalidez con bonos","124836.05"
"2002","11","Pensiones no contributivas por invalidez sin bonos","124836.05"
"2002","11","Pensiones no contributivas por vejez con bonos","124836.05"
"2002","11","Pensiones no contributivas por vejez sin bonos","124836.05"
"2002","11","Pensiones no contributivas para madres de 7 o más hijos con bonos","178337.21"
"2002","11","Pensiones no contributivas para madres de 7 o más hijos sin bonos","178337.21"
"2002","11","ProHuerta",
"2002","11","Jefes de hogar",
"2002","12","Pensiones no contributivas por invalidez con bonos","187493.5"
"2002","12","Pensiones no contributivas por invalidez sin bonos","187493.5"
"2002","12","Pensiones no contributivas por vejez con bonos","186900.17"
"2002","12","Pensiones no contributivas por vejez sin bonos","186900.17"
"2002","12","Pensiones no contributivas para madres de 7 o más hijos con bonos","267000.24"
"2002","12","Pensiones no contributivas para madres de 7 o más hijos sin bonos","267000.24"
"2002","12","ProHuerta",
"2002","12","Jefes de hogar",
"2003","1","Pensiones no contributivas por invalidez con bonos","122982.05"
"2003","1","Pensiones no contributivas por invalidez sin bonos","122982.05"
"2003","1","Pensiones no contributivas por vejez con bonos","122982.05"
"2003","1","Pensiones no contributivas por vejez sin bonos","122982.05"
"2003","1","Pensiones no contributivas para madres de 7 o más hijos con bonos","175688.64"
"2003","1","Pensiones no contributivas para madres de 7 o más hijos sin bonos","175688.64"
"2003","1","ProHuerta",
"2003","1","Programa de empleo comunitario",
"2003","1","Jefes de hogar",
"2003","2","Pensiones no contributivas por invalidez con bonos","122288.92"
"2003","2","Pensiones no contributivas por invalidez sin bonos","122288.92"
"2003","2","Pensiones no contributivas por vejez con bonos","122288.92"
"2003","2","Pensiones no contributivas por vejez sin bonos","122288.92"
"2003","2","Pensiones no contributivas para madres de 7 o más hijos con bonos","174698.45"
"2003","2","Pensiones no contributivas para madres de 7 o más hijos sin bonos","174698.45"
"2003","2","ProHuerta",
"2003","2","Programa de empleo comunitario",
"2003","2","Jefes de hogar",
"2003","3","Pensiones no contributivas por invalidez con bonos","121577.68"
"2003","3","Pensiones no contributivas por invalidez sin bonos","121577.68"
"2003","3","Pensiones no contributivas por vejez con bonos","121577.68"
"2003","3","Pensiones no contributivas por vejez sin bonos","121577.68"
"2003","3","Pensiones no contributivas para madres de 7 o más hijos con bonos","173682.41"
"2003","3","Pensiones no contributivas para madres de 7 o más hijos sin bonos","173682.41"
"2003","3","ProHuerta",
"2003","3","Programa de empleo comunitario",
"2003","3","Jefes de hogar",
"2003","4","Pensiones no contributivas por invalidez con bonos","121508.74"
"2003","4","Pensiones no contributivas por invalidez sin bonos","121508.74"
"2003","4","Pensiones no contributivas por vejez con bonos","121508.74"
"2003","4","Pensiones no contributivas por vejez sin bonos","121508.74"
"2003","4","Pensiones no contributivas para madres de 7 o más hijos con bonos","173583.91"
"2003","4","Pensiones no contributivas para madres de 7 o más hijos sin bonos","173583.91"
"2003","4","ProHuerta",
"2003","4","Programa de empleo comunitario",
"2003","4","Jefes de hogar",
"2003","5","Pensiones no contributivas por invalidez con bonos","121984.33"
"2003","5","Pensiones no contributivas por invalidez sin bonos","121984.33"
"2003","5","Pensiones no contributivas por vejez con bonos","121984.33"
"2003","5","Pensiones no contributivas por vejez sin bonos","121984.33"
"2003","5","Pensiones no contributivas para madres de 7 o más hijos con bonos","174263.32"
"2003","5","Pensiones no contributivas para madres de 7 o más hijos sin bonos","174263.32"
"2003","5","ProHuerta",
"2003","5","Programa de empleo comunitario",
"2003","5","Jefes de hogar",
"2003","6","Pensiones no contributivas por invalidez con bonos","183132.88"
"2003","6","Pensiones no contributivas por invalidez sin bonos","183132.88"
"2003","6","Pensiones no contributivas por vejez con bonos","183132.88"
"2003","6","Pensiones no contributivas por vejez sin bonos","183132.88"
"2003","6","Pensiones no contributivas para madres de 7 o más hijos con bonos","261618.4"
"2003","6","Pensiones no contributivas para madres de 7 o más hijos sin bonos","261618.4"
"2003","6","ProHuerta",
"2003","6","Programa de empleo comunitario",
"2003","6","Jefes de hogar",
"2003","7","Pensiones no contributivas por invalidez con bonos","178263.36"
"2003","7","Pensiones no contributivas por invalidez sin bonos","178263.36"
"2003","7","Pensiones no contributivas por vejez con bonos","178263.36"
"2003","7","Pensiones no contributivas por vejez sin bonos","178263.36"
"2003","7","Pensiones no contributivas para madres de 7 o más hijos con bonos","254661.94"
"2003","7","Pensiones no contributivas para madres de 7 o más hijos sin bonos","254661.94"
"2003","7","ProHuerta",
"2003","7","Programa de empleo comunitario",
"2003","7","Jefes de hogar",
"2003","8","Pensiones no contributivas por invalidez con bonos","178225.45"
"2003","8","Pensiones no contributivas por invalidez sin bonos","178225.45"
"2003","8","Pensiones no contributivas por vejez con bonos","178225.45"
"2003","8","Pensiones no contributivas por vejez sin bonos","178225.45"
"2003","8","Pensiones no contributivas para madres de 7 o más hijos con bonos","254607.78"
"2003","8","Pensiones no contributivas para madres de 7 o más hijos sin bonos","254607.78"
"2003","8","ProHuerta",
"2003","8","Programa de empleo comunitario",
"2003","8","Jefes de hogar",
"2003","9","Pensiones no contributivas por invalidez con bonos","178149.67"
"2003","9","Pensiones no contributivas por invalidez sin bonos","178149.67"
"2003","9","Pensiones no contributivas por vejez con bonos","178149.67"
"2003","9","Pensiones no contributivas por vejez sin bonos","178149.67"
"2003","9","Pensiones no contributivas para madres de 7 o más hijos con bonos","254499.53"
"2003","9","Pensiones no contributivas para madres de 7 o más hijos sin bonos","254499.53"
"2003","9","ProHuerta",
"2003","9","Programa de empleo comunitario",
"2003","9","Jefes de hogar",
"2003","10","Pensiones no contributivas por invalidez con bonos","177108.01"
"2003","10","Pensiones no contributivas por invalidez sin bonos","177108.01"
"2003","10","Pensiones no contributivas por vejez con bonos","177108.01"
"2003","10","Pensiones no contributivas por vejez sin bonos","177108.01"
"2003","10","Pensiones no contributivas para madres de 7 o más hijos con bonos","253011.44"
"2003","10","Pensiones no contributivas para madres de 7 o más hijos sin bonos","253011.44"
"2003","10","ProHuerta",
"2003","10","Programa de empleo comunitario",
"2003","10","Jefes de hogar",
"2003","11","Pensiones no contributivas por invalidez con bonos","176672.4"
"2003","11","Pensiones no contributivas por invalidez sin bonos","176672.4"
"2003","11","Pensiones no contributivas por vejez con bonos","176672.4"
"2003","11","Pensiones no contributivas por vejez sin bonos","176672.4"
"2003","11","Pensiones no contributivas para madres de 7 o más hijos con bonos","252389.14"
"2003","11","Pensiones no contributivas para madres de 7 o más hijos sin bonos","252389.14"
"2003","11","ProHuerta",
"2003","11","Programa de empleo comunitario",
"2003","11","Jefes de hogar",
"2003","12","Pensiones no contributivas por invalidez con bonos","264451.07"
"2003","12","Pensiones no contributivas por invalidez sin bonos","264451.07"
"2003","12","Pensiones no contributivas por vejez con bonos","264451.07"
"2003","12","Pensiones no contributivas por vejez sin bonos","264451.07"
"2003","12","Pensiones no contributivas para madres de 7 o más hijos con bonos","377787.24"
"2003","12","Pensiones no contributivas para madres de 7 o más hijos sin bonos","377787.24"
"2003","12","ProHuerta",
"2003","12","Programa de empleo comunitario",
"2003","12","Jefes de hogar",
"2004","1","Pensiones no contributivas por invalidez con bonos","191522.21"
"2004","1","Pensiones no contributivas por invalidez sin bonos","191522.21"
"2004","1","Pensiones no contributivas por vejez con bonos","191522.21"
"2004","1","Pensiones no contributivas por vejez sin bonos","191522.21"
"2004","1","Pensiones no contributivas para madres de 7 o más hijos con bonos","273603.15"
"2004","1","Pensiones no contributivas para madres de 7 o más hijos sin bonos","273603.15"
"2004","1","ProHuerta",
"2004","1","Programa de empleo comunitario",
"2004","1","Monotributo social",
"2004","1","Programa de recuperación productiva 1",
"2004","1","Jefes de hogar",
"2004","2","Pensiones no contributivas por invalidez con bonos","191335.15"
"2004","2","Pensiones no contributivas por invalidez sin bonos","191335.15"
"2004","2","Pensiones no contributivas por vejez con bonos","191335.15"
"2004","2","Pensiones no contributivas por vejez sin bonos","191335.15"
"2004","2","Pensiones no contributivas para madres de 7 o más hijos con bonos","273335.93"
"2004","2","Pensiones no contributivas para madres de 7 o más hijos sin bonos","273335.93"
"2004","2","ProHuerta",
"2004","2","Programa de empleo comunitario",
"2004","2","Monotributo social",
"2004","2","Programa de recuperación productiva 1",
"2004","2","Jefes de hogar",
"2004","3","Pensiones no contributivas por invalidez con bonos","190194.04"
"2004","3","Pensiones no contributivas por invalidez sin bonos","190194.04"
"2004","3","Pensiones no contributivas por vejez con bonos","190194.04"
"2004","3","Pensiones no contributivas por vejez sin bonos","190194.04"
"2004","3","Pensiones no contributivas para madres de 7 o más hijos con bonos","271705.77"
"2004","3","Pensiones no contributivas para madres de 7 o más hijos sin bonos","271705.77"
"2004","3","ProHuerta",
"2004","3","Programa de empleo comunitario",
"2004","3","Trabajo autogestionado",
"2004","3","Monotributo social",
"2004","3","Programa de recuperación productiva 1",
"2004","3","Jefes de hogar",
"2004","4","Pensiones no contributivas por invalidez con bonos","188585.44"
"2004","4","Pensiones no contributivas por invalidez sin bonos","188585.44"
"2004","4","Pensiones no contributivas por vejez con bonos","188585.44"
"2004","4","Pensiones no contributivas por vejez sin bonos","188585.44"
"2004","4","Pensiones no contributivas para madres de 7 o más hijos con bonos","269407.77"
"2004","4","Pensiones no contributivas para madres de 7 o más hijos sin bonos","269407.77"
"2004","4","ProHuerta",
"2004","4","Programa de empleo comunitario",
"2004","4","Trabajo autogestionado",
"2004","4","Monotributo social",
"2004","4","Programa de recuperación productiva 1",
"2004","4","Jefes de hogar",
"2004","5","Pensiones no contributivas por invalidez con bonos","187463.98"
"2004","5","Pensiones no contributivas por invalidez sin bonos","187463.98"
"2004","5","Pensiones no contributivas por vejez con bonos","187463.98"
"2004","5","Pensiones no contributivas por vejez sin bonos","187463.98"
"2004","5","Pensiones no contributivas para madres de 7 o más hijos con bonos","267805.68"
"2004","5","Pensiones no contributivas para madres de 7 o más hijos sin bonos","267805.68"
"2004","5","ProHuerta",
"2004","5","Programa de empleo comunitario",
"2004","5","Trabajo autogestionado",
"2004","5","Monotributo social",
"2004","5","Programa de recuperación productiva 1",
"2004","5","Jefes de hogar",
"2004","6","Pensiones no contributivas por invalidez con bonos","302519.81"
"2004","6","Pensiones no contributivas por invalidez sin bonos","302519.81"
"2004","6","Pensiones no contributivas por vejez con bonos","302519.81"
"2004","6","Pensiones no contributivas por vejez sin bonos","302519.81"
"2004","6","Pensiones no contributivas para madres de 7 o más hijos con bonos","432171.15"
"2004","6","Pensiones no contributivas para madres de 7 o más hijos sin bonos","432171.15"
"2004","6","ProHuerta",
"2004","6","Programa de empleo comunitario",
"2004","6","Trabajo autogestionado",
"2004","6","Monotributo social",
"2004","6","Programa de recuperación productiva 1",
"2004","6","Jefes de hogar",
"2004","7","Pensiones no contributivas por invalidez con bonos","200753.23"
"2004","7","Pensiones no contributivas por invalidez sin bonos","200753.23"
"2004","7","Pensiones no contributivas por vejez con bonos","200753.23"
