"anio","mes","partida_ejecucion_mensual","ejecucion_mensual_millones_pesos_corrientes"
"2002","1","Pensiones no contributivas por invalidez sin bonos","8.296659"
"2002","1","Pensiones no contributivas por invalidez con bonos","8.296659"
"2002","1","Pensiones no contributivas por vejez sin bonos","4.356555"
"2002","1","Pensiones no contributivas por vejez con bonos","4.356555"
"2002","1","Pensiones no contributivas para madres de 7 o más hijos sin bonos","8.17865"
"2002","1","Pensiones no contributivas para madres de 7 o más hijos con bonos","8.17865"
"2002","1","Abordaje territorial","0"
"2002","1","Economía social","0"
"2002","1","Asistencia a la actividad cooperativa y mutual","0"
"2002","1","Programa social agropecuario","0"
"2002","1","Acciones de empleo","0"
"2002","1","Acciones de capacitación laboral","0"
"2002","2","Pensiones no contributivas por invalidez sin bonos","8.296659"
"2002","2","Pensiones no contributivas por invalidez con bonos","8.296659"
"2002","2","Pensiones no contributivas por vejez sin bonos","4.356555"
"2002","2","Pensiones no contributivas por vejez con bonos","4.356555"
"2002","2","Pensiones no contributivas para madres de 7 o más hijos sin bonos","8.1752"
"2002","2","Pensiones no contributivas para madres de 7 o más hijos con bonos","8.1752"
"2002","2","Abordaje territorial","0"
"2002","2","Economía social","0.0028"
"2002","2","Asistencia a la actividad cooperativa y mutual","0.04577769"
"2002","2","Programa social agropecuario","0.21880863"
"2002","2","Acciones de empleo","6.19944"
"2002","2","Acciones de capacitación laboral","0"
"2002","3","Pensiones no contributivas por invalidez sin bonos","8.296659"
"2002","3","Pensiones no contributivas por invalidez con bonos","8.296659"
"2002","3","Pensiones no contributivas por vejez sin bonos","4.356555"
"2002","3","Pensiones no contributivas por vejez con bonos","4.356555"
"2002","3","Pensiones no contributivas para madres de 7 o más hijos sin bonos","8.1728"
"2002","3","Pensiones no contributivas para madres de 7 o más hijos con bonos","8.1728"
"2002","3","Abordaje territorial","0.37263199"
"2002","3","Economía social","0.0048"
"2002","3","Asistencia a la actividad cooperativa y mutual","0.07211738"
"2002","3","Programa social agropecuario","0.45594548"
"2002","3","Acciones de empleo","30.21658125"
"2002","3","Acciones de capacitación laboral","0"
"2002","4","Pensiones no contributivas por invalidez sin bonos","8.296659"
"2002","4","Pensiones no contributivas por invalidez con bonos","8.296659"
"2002","4","Pensiones no contributivas por vejez sin bonos","4.356555"
"2002","4","Pensiones no contributivas por vejez con bonos","4.356555"
"2002","4","Pensiones no contributivas para madres de 7 o más hijos sin bonos","8.16905"
"2002","4","Pensiones no contributivas para madres de 7 o más hijos con bonos","8.16905"
"2002","4","Abordaje territorial","0.39949463"
"2002","4","Economía social","0"
"2002","4","Asistencia a la actividad cooperativa y mutual","0.03180969"
"2002","4","Programa social agropecuario","0.006841"
"2002","4","Acciones de empleo","6.07776"
"2002","4","Acciones de capacitación laboral","0.31951561"
"2002","4","Jefes de hogar","52.51243"
"2002","5","Pensiones no contributivas por invalidez sin bonos","8.296659"
"2002","5","Pensiones no contributivas por invalidez con bonos","8.296659"
"2002","5","Pensiones no contributivas por vejez sin bonos","4.356555"
"2002","5","Pensiones no contributivas por vejez con bonos","4.356555"
"2002","5","Pensiones no contributivas para madres de 7 o más hijos sin bonos","8.1848"
"2002","5","Pensiones no contributivas para madres de 7 o más hijos con bonos","8.1848"
"2002","5","Abordaje territorial","0.97400937"
"2002","5","Economía social","0.0024"
"2002","5","Asistencia a la actividad cooperativa y mutual","0.03180969"
"2002","5","Programa social agropecuario","0.23514703"
"2002","5","Acciones de empleo","2.4545962"
"2002","5","Acciones de capacitación laboral","0.05436889"
"2002","5","Jefes de hogar","168.04409285"
"2002","6","Pensiones no contributivas por invalidez sin bonos","12.4449885"
"2002","6","Pensiones no contributivas por invalidez con bonos","12.4449885"
"2002","6","Pensiones no contributivas por vejez sin bonos","6.5348325"
"2002","6","Pensiones no contributivas por vejez con bonos","6.5348325"
"2002","6","Pensiones no contributivas para madres de 7 o más hijos sin bonos","12.272025"
"2002","6","Pensiones no contributivas para madres de 7 o más hijos con bonos","12.272025"
"2002","6","Abordaje territorial","1.92395677"
"2002","6","Economía social","0.0448"
"2002","6","Asistencia a la actividad cooperativa y mutual","0.06155699"
"2002","6","Programa social agropecuario","1.44184297"
"2002","6","Acciones de empleo","2.7441881"
"2002","6","Acciones de capacitación laboral","0"
"2002","6","Jefes de hogar","253.75893803"
"2002","7","Pensiones no contributivas por invalidez sin bonos","8.296659"
"2002","7","Pensiones no contributivas por invalidez con bonos","8.296659"
"2002","7","Pensiones no contributivas por vejez sin bonos","4.356555"
"2002","7","Pensiones no contributivas por vejez con bonos","4.356555"
"2002","7","Pensiones no contributivas para madres de 7 o más hijos sin bonos","8.17955"
"2002","7","Pensiones no contributivas para madres de 7 o más hijos con bonos","8.17955"
"2002","7","Abordaje territorial","0.52388239"
"2002","7","Economía social","0"
"2002","7","Asistencia a la actividad cooperativa y mutual","0.05887038"
"2002","7","Programa social agropecuario","0.23671684"
"2002","7","Acciones de empleo","6.71917125"
"2002","7","Acciones de capacitación laboral","0.38339667"
"2002","7","Jefes de hogar","264.466818"
"2002","8","Pensiones no contributivas por invalidez sin bonos","8.296659"
"2002","8","Pensiones no contributivas por invalidez con bonos","8.296659"
"2002","8","Pensiones no contributivas por vejez sin bonos","4.356555"
"2002","8","Pensiones no contributivas por vejez con bonos","4.356555"
"2002","8","Pensiones no contributivas para madres de 7 o más hijos sin bonos","8.1788"
"2002","8","Pensiones no contributivas para madres de 7 o más hijos con bonos","8.1788"
"2002","8","Abordaje territorial","1.16863194"
"2002","8","Economía social","0.033"
"2002","8","Asistencia a la actividad cooperativa y mutual","0.05452267"
"2002","8","Programa social agropecuario","0.135677"
"2002","8","Acciones de empleo","8.72196385"
"2002","8","Acciones de capacitación laboral","0.02031193"
"2002","8","Jefes de hogar","278.4027383"
"2002","9","Pensiones no contributivas por invalidez sin bonos","8.296659"
"2002","9","Pensiones no contributivas por invalidez con bonos","8.296659"
"2002","9","Pensiones no contributivas por vejez sin bonos","4.356555"
