"anio","mes","partida_ejecucion_mensual","ejecucion_mensual_millones_pesos_constantes"
"2002","1","Pensiones no contributivas por invalidez sin bonos","12962.8558555046"
"2002","1","Pensiones no contributivas por invalidez con bonos","12962.8558555046"
"2002","1","Pensiones no contributivas por vejez sin bonos","6806.7633599956"
"2002","1","Pensiones no contributivas por vejez con bonos","6806.7633599956"
"2002","1","Pensiones no contributivas para madres de 7 o más hijos sin bonos","12778.4763773734"
"2002","1","Pensiones no contributivas para madres de 7 o más hijos con bonos","12778.4763773734"
"2002","1","Abordaje territorial","0"
"2002","1","Economía social","0"
"2002","1","Asistencia a la actividad cooperativa y mutual","0"
"2002","1","Programa social agropecuario","0"
"2002","1","Acciones de empleo","0"
"2002","1","Acciones de capacitación laboral","0"
"2002","1","Jefes de hogar","0"
"2002","2","Pensiones no contributivas por invalidez sin bonos","12568.8212937125"
"2002","2","Pensiones no contributivas por invalidez con bonos","12568.8212937125"
"2002","2","Pensiones no contributivas por vejez sin bonos","6599.85679190018"
"2002","2","Pensiones no contributivas por vejez con bonos","6599.85679190018"
"2002","2","Pensiones no contributivas para madres de 7 o más hijos sin bonos","12384.8199426249"
"2002","2","Pensiones no contributivas para madres de 7 o más hijos con bonos","12384.8199426249"
"2002","2","Abordaje territorial","0"
"2002","2","Economía social","4.2417917407953"
"2002","2","Asistencia a la actividad cooperativa y mutual","69.3497954838171"
"2002","2","Programa social agropecuario","331.478799838834"
"2002","2","Acciones de empleo","9391.69049627002"
"2002","2","Acciones de capacitación laboral","0"
"2002","2","Jefes de hogar","0"
"2002","3","Pensiones no contributivas por invalidez sin bonos","12089.7854144192"
"2002","3","Pensiones no contributivas por invalidez con bonos","12089.7854144192"
"2002","3","Pensiones no contributivas por vejez sin bonos","6348.31624345597"
"2002","3","Pensiones no contributivas por vejez con bonos","6348.31624345597"
"2002","3","Pensiones no contributivas para madres de 7 o más hijos sin bonos","11909.2996632699"
"2002","3","Pensiones no contributivas para madres de 7 o más hijos con bonos","11909.2996632699"
"2002","3","Abordaje territorial","542.994571386869"
"2002","3","Economía social","6.99449862760567"
"2002","3","Asistencia a la actividad cooperativa y mutual","105.088524049274"
"2002","3","Programa social agropecuario","664.397923775627"
"2002","3","Acciones de empleo","44031.2158508459"
"2002","3","Acciones de capacitación laboral","0"
"2002","3","Jefes de hogar","0"
"2002","4","Pensiones no contributivas por invalidez sin bonos","10952.1158383141"
"2002","4","Pensiones no contributivas por invalidez con bonos","10952.1158383141"
"2002","4","Pensiones no contributivas por vejez sin bonos","5750.92877940223"
"2002","4","Pensiones no contributivas por vejez con bonos","5750.92877940223"
"2002","4","Pensiones no contributivas para madres de 7 o más hijos sin bonos","10783.6638686705"
"2002","4","Pensiones no contributivas para madres de 7 o más hijos con bonos","10783.6638686705"
"2002","4","Abordaje territorial","527.358237158407"
"2002","4","Economía social","0"
"2002","4","Asistencia a la actividad cooperativa y mutual","41.990807343156"
"2002","4","Programa social agropecuario","9.03055367828264"
"2002","4","Acciones de empleo","8023.02849345404"
"2002","4","Acciones de capacitación laboral","421.780860569247"
"2002","4","Jefes de hogar","69319.7365724397"
"2002","5","Pensiones no contributivas por invalidez sin bonos","10529.7496429386"
"2002","5","Pensiones no contributivas por invalidez con bonos","10529.7496429386"
"2002","5","Pensiones no contributivas por vejez sin bonos","5529.14534099716"
"2002","5","Pensiones no contributivas por vejez con bonos","5529.14534099716"
"2002","5","Pensiones no contributivas para madres de 7 o más hijos sin bonos","10387.7831880909"
"2002","5","Pensiones no contributivas para madres de 7 o más hijos con bonos","10387.7831880909"
"2002","5","Abordaje territorial","1236.1692599366"
"2002","5","Economía social","3.04597298057598"
"2002","5","Asistencia a la actividad cooperativa y mutual","40.3714401085408"
"2002","5","Programa social agropecuario","298.438124934454"
"2002","5","Acciones de empleo","3115.26404309353"
"2002","5","Acciones de capacitación laboral","69.0025708016282"
"2002","5","Jefes de hogar","213274.069319375"
"2002","6","Pensiones no contributivas por invalidez sin bonos","15242.7551265732"
"2002","6","Pensiones no contributivas por invalidez con bonos","15242.7551265732"
"2002","6","Pensiones no contributivas por vejez sin bonos","8003.93279517071"
"2002","6","Pensiones no contributivas por vejez con bonos","8003.93279517071"
"2002","6","Pensiones no contributivas para madres de 7 o más hijos sin bonos","15030.9075803634"
"2002","6","Pensiones no contributivas para madres de 7 o más hijos con bonos","15030.9075803634"
"2002","6","Abordaje territorial","2356.48284602455"
"2002","6","Economía social","54.8715195414187"
"2002","6","Asistencia a la actividad cooperativa y mutual","75.3956602610695"
"2002","6","Programa social agropecuario","1765.98470321456"
"2002","6","Acciones de empleo","3361.11095880533"
"2002","6","Acciones de capacitación laboral","0"
"2002","6","Jefes de hogar","310806.663547384"
"2002","7","Pensiones no contributivas por invalidez sin bonos","9847.9038853567"
"2002","7","Pensiones no contributivas por invalidez con bonos","9847.9038853567"
"2002","7","Pensiones no contributivas por vejez sin bonos","5171.10983002558"
"2002","7","Pensiones no contributivas por vejez con bonos","5171.10983002558"
"2002","7","Pensiones no contributivas para madres de 7 o más hijos sin bonos","9708.89875375973"
"2002","7","Pensiones no contributivas para madres de 7 o más hijos con bonos","9708.89875375973"
"2002","7","Abordaje territorial","621.833851909661"
"2002","7","Economía social","0"
"2002","7","Asistencia a la actividad cooperativa y mutual","69.8775065884262"
"2002","7","Programa social agropecuario","280.976316896399"
"2002","7","Acciones de empleo","7975.46972332502"
"2002","7","Acciones de capacitación laboral","455.081202701692"
"2002","7","Jefes de hogar","313914.770334676"
"2002","8","Pensiones no contributivas por invalidez sin bonos","9622.39054731284"
"2002","8","Pensiones no contributivas por invalidez con bonos","9622.39054731284"
"2002","8","Pensiones no contributivas por vejez sin bonos","5052.69333726365"
"2002","8","Pensiones no contributivas por vejez con bonos","5052.69333726365"
"2002","8","Pensiones no contributivas para madres de 7 o más hijos sin bonos","9485.69873829481"
"2002","8","Pensiones no contributivas para madres de 7 o más hijos con bonos","9485.69873829481"
"2002","8","Abordaje territorial","1355.36882168399"
"2002","8","Economía social","38.2731034337224"
"2002","8","Asistencia a la actividad cooperativa y mutual","63.2349026785671"
"2002","8","Programa social agropecuario","157.356965290217"
"2002","8","Acciones de empleo","10115.655290189"
"2002","8","Acciones de capacitación laboral","23.5575938735918"
"2002","8","Jefes de hogar","322888.993914771"
"2002","9","Pensiones no contributivas por invalidez sin bonos","9494.61909334295"
"2002","9","Pensiones no contributivas por invalidez con bonos","9494.61909334295"
"2002","9","Pensiones no contributivas por vejez sin bonos","4985.60086466115"
"2002","9","Pensiones no contributivas por vejez con bonos","4985.60086466115"
"2002","9","Pensiones no contributivas para madres de 7 o más hijos sin bonos","9422.22608439492"
"2002","9","Pensiones no contributivas para madres de 7 o más hijos con bonos","9422.22608439492"
"2002","9","Abordaje territorial","2484.49183568812"
"2002","9","Economía social","9.61288156884365"
"2002","9","Asistencia a la actividad cooperativa y mutual","107.374548186908"
"2002","9","Programa social agropecuario","774.698852675814"
"2002","9","Acciones de empleo","1.84086682043356"
"2002","9","Acciones de capacitación laboral","94.9459506113903"
"2002","9","Jefes de hogar","355738.356538769"
"2002","10","Pensiones no contributivas por invalidez sin bonos","9473.76860122668"
"2002","10","Pensiones no contributivas por invalidez con bonos","9473.76860122668"
"2002","10","Pensiones no contributivas por vejez sin bonos","4974.65232312394"
"2002","10","Pensiones no contributivas por vejez con bonos","4974.65232312394"
"2002","10","Pensiones no contributivas para madres de 7 o más hijos sin bonos","9614.60891936485"
"2002","10","Pensiones no contributivas para madres de 7 o más hijos con bonos","9614.60891936485"
"2002","10","Abordaje territorial","702.645382880184"
"2002","10","Economía social","2.28375508773512"
"2002","10","Asistencia a la actividad cooperativa y mutual","10.6500977324703"
"2002","10","Programa social agropecuario","1019.17024112601"
"2002","10","Acciones de empleo","-313.316821798981"
"2002","10","Acciones de capacitación laboral","119.23235241883"
"2002","10","Jefes de hogar","339942.379609799"
"2002","11","Pensiones no contributivas por invalidez sin bonos","9425.47176908876"
"2002","11","Pensiones no contributivas por invalidez con bonos","9425.47176908876"
"2002","11","Pensiones no contributivas por vejez sin bonos","4949.29177672392"
"2002","11","Pensiones no contributivas por vejez con bonos","4949.29177672392"
"2002","11","Pensiones no contributivas para madres de 7 o más hijos sin bonos","9692.88919882735"
"2002","11","Pensiones no contributivas para madres de 7 o más hijos con bonos","9692.88919882735"
"2002","11","Abordaje territorial","8277.38177610995"
"2002","11","Economía social","1.36326756624643"
"2002","11","Asistencia a la actividad cooperativa y mutual","162.309307251422"
"2002","11","Programa social agropecuario","907.582885609201"
"2002","11","Acciones de empleo","259.08928497921"
"2002","11","Acciones de capacitación laboral","41.5228579552557"
"2002","11","Jefes de hogar","325067.349927063"
"2002","12","Pensiones no contributivas por invalidez sin bonos","14111.4871913961"
