"anio","mes","programa_ejecucion_mensual","ejecucion_mensual_millones_pesos_corrientes"
"2002","1","Pensiones no contributivas por invalidez","8.121247344"
"2002","1","Pensiones no contributivas por vejez","4.346106"
"2002","1","Pensiones no contributivas para madres de 7 o más hijos","8.06866647"
"2002","1","Pensión universal para el adulto mayor","0"
"2002","1","Prestaciones previsionales por moratoria previsional","0"
"2002","1","Tarjetas alimentarias","0"
"2002","1","Prestación Alimentar","0"
"2002","1","Proyectos productivos comunitarios","0"
"2002","1","Ellas hacen + Argentina trabaja","0"
"2002","1","Hacemos futuro","0"
"2002","1","Potenciar trabajo","0"
"2002","1","Monotributo social","0"
"2002","1","Programa de empleo comunitario","0"
"2002","1","Programa de recuperación productiva","0"
"2002","1","Seguro de capacitación y empleo","0"
"2002","1","Asistencia al trabajo, empleo y producción","0"
"2002","1","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2002","1","Ingreso familiar de emergencia","0"
"2002","1","Programa de respaldo a estudiantes de Argentina","0"
"2002","1","Jefes de hogar","0"
"2002","2","Pensiones no contributivas por invalidez","8.121247344"
"2002","2","Pensiones no contributivas por vejez","4.346106"
"2002","2","Pensiones no contributivas para madres de 7 o más hijos","8.06514003"
"2002","2","Pensión universal para el adulto mayor","0"
"2002","2","Prestaciones previsionales por moratoria previsional","0"
"2002","2","Tarjetas alimentarias","0"
"2002","2","Prestación Alimentar","0"
"2002","2","Proyectos productivos comunitarios","0"
"2002","2","Ellas hacen + Argentina trabaja","0"
"2002","2","Hacemos futuro","0"
"2002","2","Potenciar trabajo","0"
"2002","2","Monotributo social","0"
"2002","2","Programa de empleo comunitario","0"
"2002","2","Programa de recuperación productiva","0"
"2002","2","Seguro de capacitación y empleo","0"
"2002","2","Asistencia al trabajo, empleo y producción","0"
"2002","2","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2002","2","Ingreso familiar de emergencia","0"
"2002","2","Programa de respaldo a estudiantes de Argentina","0"
"2002","2","Jefes de hogar","0"
"2002","3","Pensiones no contributivas por invalidez","8.121247344"
"2002","3","Pensiones no contributivas por vejez","4.346106"
"2002","3","Pensiones no contributivas para madres de 7 o más hijos","8.06253358"
"2002","3","Pensión universal para el adulto mayor","0"
"2002","3","Prestaciones previsionales por moratoria previsional","0"
"2002","3","Tarjetas alimentarias","0"
"2002","3","Prestación Alimentar","0"
"2002","3","Proyectos productivos comunitarios","0"
"2002","3","Ellas hacen + Argentina trabaja","0"
"2002","3","Hacemos futuro","0"
"2002","3","Potenciar trabajo","0"
"2002","3","Monotributo social","0"
"2002","3","Programa de empleo comunitario","0"
"2002","3","Programa de recuperación productiva","0"
"2002","3","Seguro de capacitación y empleo","0"
"2002","3","Asistencia al trabajo, empleo y producción","0"
"2002","3","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2002","3","Ingreso familiar de emergencia","0"
"2002","3","Programa de respaldo a estudiantes de Argentina","0"
"2002","3","Jefes de hogar","0"
"2002","4","Pensiones no contributivas por invalidez","8.121247344"
"2002","4","Pensiones no contributivas por vejez","4.346106"
"2002","4","Pensiones no contributivas para madres de 7 o más hijos","8.05876155"
"2002","4","Pensión universal para el adulto mayor","0"
"2002","4","Prestaciones previsionales por moratoria previsional","0"
"2002","4","Tarjetas alimentarias","0"
"2002","4","Prestación Alimentar","0"
"2002","4","Proyectos productivos comunitarios","0"
"2002","4","Ellas hacen + Argentina trabaja","0"
"2002","4","Hacemos futuro","0"
"2002","4","Potenciar trabajo","0"
"2002","4","Monotributo social","0"
"2002","4","Programa de empleo comunitario","0"
"2002","4","Programa de recuperación productiva","0"
"2002","4","Seguro de capacitación y empleo","0"
"2002","4","Asistencia al trabajo, empleo y producción","0"
"2002","4","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2002","4","Ingreso familiar de emergencia","0"
"2002","4","Programa de respaldo a estudiantes de Argentina","0"
"2002","4","Jefes de hogar","52.51243"
"2002","5","Pensiones no contributivas por invalidez","8.121247344"
"2002","5","Pensiones no contributivas por vejez","4.346106"
"2002","5","Pensiones no contributivas para madres de 7 o más hijos","8.07456655"
"2002","5","Pensión universal para el adulto mayor","0"
"2002","5","Prestaciones previsionales por moratoria previsional","0"
"2002","5","Tarjetas alimentarias","0"
"2002","5","Prestación Alimentar","0"
"2002","5","Proyectos productivos comunitarios","0"
"2002","5","Ellas hacen + Argentina trabaja","0"
"2002","5","Hacemos futuro","0"
"2002","5","Potenciar trabajo","0"
"2002","5","Monotributo social","0"
"2002","5","Programa de empleo comunitario","0"
"2002","5","Programa de recuperación productiva","0"
"2002","5","Seguro de capacitación y empleo","0"
"2002","5","Asistencia al trabajo, empleo y producción","0"
"2002","5","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2002","5","Ingreso familiar de emergencia","0"
"2002","5","Programa de respaldo a estudiantes de Argentina","0"
"2002","5","Jefes de hogar","168.04409285"
"2002","6","Pensiones no contributivas por invalidez","12.181871016"
"2002","6","Pensiones no contributivas por vejez","6.519159"
"2002","6","Pensiones no contributivas para madres de 7 o más hijos","12.10673691"
"2002","6","Pensión universal para el adulto mayor","0"
"2002","6","Prestaciones previsionales por moratoria previsional","0"
"2002","6","Tarjetas alimentarias","0"
"2002","6","Prestación Alimentar","0"
"2002","6","Proyectos productivos comunitarios","0"
"2002","6","Ellas hacen + Argentina trabaja","0"
"2002","6","Hacemos futuro","0"
"2002","6","Potenciar trabajo","0"
"2002","6","Monotributo social","0"
"2002","6","Programa de empleo comunitario","0"
"2002","6","Programa de recuperación productiva","0"
"2002","6","Seguro de capacitación y empleo","0"
"2002","6","Asistencia al trabajo, empleo y producción","0"
"2002","6","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2002","6","Ingreso familiar de emergencia","0"
"2002","6","Programa de respaldo a estudiantes de Argentina","0"
"2002","6","Jefes de hogar","253.75893803"
"2002","7","Pensiones no contributivas por invalidez","8.121247344"
"2002","7","Pensiones no contributivas por vejez","4.346106"
"2002","7","Pensiones no contributivas para madres de 7 o más hijos","8.06933293"
"2002","7","Pensión universal para el adulto mayor","0"
"2002","7","Prestaciones previsionales por moratoria previsional","0"
"2002","7","Tarjetas alimentarias","0"
"2002","7","Prestación Alimentar","0"
"2002","7","Proyectos productivos comunitarios","0"
"2002","7","Ellas hacen + Argentina trabaja","0"
"2002","7","Hacemos futuro","0"
"2002","7","Potenciar trabajo","0"
"2002","7","Monotributo social","0"
"2002","7","Programa de empleo comunitario","0"
"2002","7","Programa de recuperación productiva","0"
"2002","7","Seguro de capacitación y empleo","0"
"2002","7","Asistencia al trabajo, empleo y producción","0"
"2002","7","Asignación universal por hijo + Asignación universal por hijo con discapacidad + Asignación por embarazo para protección social","0"
"2002","7","Ingreso familiar de emergencia","0"
"2002","7","Programa de respaldo a estudiantes de Argentina","0"
"2002","7","Jefes de hogar","264.466818"
"2002","8","Pensiones no contributivas por invalidez","8.121247344"
"2002","8","Pensiones no contributivas por vejez","4.346106"
"2002","8","Pensiones no contributivas para madres de 7 o más hijos","8.06858293"
"2002","8","Pensión universal para el adulto mayor","0"
"2002","8","Prestaciones previsionales por moratoria previsional","0"
"2002","8","Tarjetas alimentarias","0"
"2002","8","Prestación Alimentar","0"
"2002","8","Proyectos productivos comunitarios","0"
