"anio","mes","programa_ejecucion_mensual","ejecucion_mensual_millones_pesos_constantes"
"2002","1","Pensiones no contributivas por invalidez sin bonos","12962.8558555046"
"2002","1","Pensiones no contributivas por invalidez con bonos","12962.8558555046"
"2002","1","Pensiones no contributivas por vejez sin bonos","6806.7633599956"
"2002","1","Pensiones no contributivas por vejez con bonos","6806.7633599956"
"2002","1","Pensiones no contributivas para madres de 7 o más hijos sin bonos","12778.4763773734"
"2002","1","Pensiones no contributivas para madres de 7 o más hijos con bonos","12778.4763773734"
"2002","2","Pensiones no contributivas por invalidez sin bonos","12568.8212937125"
"2002","2","Pensiones no contributivas por invalidez con bonos","12568.8212937125"
"2002","2","Pensiones no contributivas por vejez sin bonos","6599.85679190018"
"2002","2","Pensiones no contributivas por vejez con bonos","6599.85679190018"
"2002","2","Pensiones no contributivas para madres de 7 o más hijos sin bonos","12384.8199426249"
"2002","2","Pensiones no contributivas para madres de 7 o más hijos con bonos","12384.8199426249"
"2002","3","Pensiones no contributivas por invalidez sin bonos","12089.7854144192"
"2002","3","Pensiones no contributivas por invalidez con bonos","12089.7854144192"
"2002","3","Pensiones no contributivas por vejez sin bonos","6348.31624345597"
"2002","3","Pensiones no contributivas por vejez con bonos","6348.31624345597"
"2002","3","Pensiones no contributivas para madres de 7 o más hijos sin bonos","11909.2996632699"
"2002","3","Pensiones no contributivas para madres de 7 o más hijos con bonos","11909.2996632699"
"2002","4","Pensiones no contributivas por invalidez sin bonos","10952.1158383141"
"2002","4","Pensiones no contributivas por invalidez con bonos","10952.1158383141"
"2002","4","Pensiones no contributivas por vejez sin bonos","5750.92877940223"
"2002","4","Pensiones no contributivas por vejez con bonos","5750.92877940223"
"2002","4","Pensiones no contributivas para madres de 7 o más hijos sin bonos","10783.6638686705"
"2002","4","Pensiones no contributivas para madres de 7 o más hijos con bonos","10783.6638686705"
"2002","4","Jefes de hogar","69319.7365724397"
"2002","5","Pensiones no contributivas por invalidez sin bonos","10529.7496429386"
"2002","5","Pensiones no contributivas por invalidez con bonos","10529.7496429386"
"2002","5","Pensiones no contributivas por vejez sin bonos","5529.14534099716"
"2002","5","Pensiones no contributivas por vejez con bonos","5529.14534099716"
"2002","5","Pensiones no contributivas para madres de 7 o más hijos sin bonos","10387.7831880909"
"2002","5","Pensiones no contributivas para madres de 7 o más hijos con bonos","10387.7831880909"
"2002","5","Jefes de hogar","213274.069319375"
"2002","6","Pensiones no contributivas por invalidez sin bonos","15242.7551265732"
"2002","6","Pensiones no contributivas por invalidez con bonos","15242.7551265732"
"2002","6","Pensiones no contributivas por vejez sin bonos","8003.93279517071"
"2002","6","Pensiones no contributivas por vejez con bonos","8003.93279517071"
"2002","6","Pensiones no contributivas para madres de 7 o más hijos sin bonos","15030.9075803634"
"2002","6","Pensiones no contributivas para madres de 7 o más hijos con bonos","15030.9075803634"
"2002","6","Jefes de hogar","310806.663547384"
"2002","7","Pensiones no contributivas por invalidez sin bonos","9847.9038853567"
"2002","7","Pensiones no contributivas por invalidez con bonos","9847.9038853567"
"2002","7","Pensiones no contributivas por vejez sin bonos","5171.10983002558"
"2002","7","Pensiones no contributivas por vejez con bonos","5171.10983002558"
"2002","7","Pensiones no contributivas para madres de 7 o más hijos sin bonos","9708.89875375973"
"2002","7","Pensiones no contributivas para madres de 7 o más hijos con bonos","9708.89875375973"
"2002","7","Jefes de hogar","313914.770334676"
"2002","8","Pensiones no contributivas por invalidez sin bonos","9622.39054731284"
"2002","8","Pensiones no contributivas por invalidez con bonos","9622.39054731284"
"2002","8","Pensiones no contributivas por vejez sin bonos","5052.69333726365"
"2002","8","Pensiones no contributivas por vejez con bonos","5052.69333726365"
"2002","8","Pensiones no contributivas para madres de 7 o más hijos sin bonos","9485.69873829481"
"2002","8","Pensiones no contributivas para madres de 7 o más hijos con bonos","9485.69873829481"
"2002","8","Jefes de hogar","322888.993914771"
"2002","9","Pensiones no contributivas por invalidez sin bonos","9494.61909334295"
"2002","9","Pensiones no contributivas por invalidez con bonos","9494.61909334295"
"2002","9","Pensiones no contributivas por vejez sin bonos","4985.60086466115"
"2002","9","Pensiones no contributivas por vejez con bonos","4985.60086466115"
"2002","9","Pensiones no contributivas para madres de 7 o más hijos sin bonos","9422.22608439492"
"2002","9","Pensiones no contributivas para madres de 7 o más hijos con bonos","9422.22608439492"
"2002","9","Jefes de hogar","355738.356538769"
"2002","10","Pensiones no contributivas por invalidez sin bonos","9473.76860122668"
"2002","10","Pensiones no contributivas por invalidez con bonos","9473.76860122668"
"2002","10","Pensiones no contributivas por vejez sin bonos","4974.65232312394"
"2002","10","Pensiones no contributivas por vejez con bonos","4974.65232312394"
"2002","10","Pensiones no contributivas para madres de 7 o más hijos sin bonos","9614.60891936485"
"2002","10","Pensiones no contributivas para madres de 7 o más hijos con bonos","9614.60891936485"
"2002","10","Jefes de hogar","339942.379609799"
"2002","11","Pensiones no contributivas por invalidez sin bonos","9425.47176908876"
"2002","11","Pensiones no contributivas por invalidez con bonos","9425.47176908876"
"2002","11","Pensiones no contributivas por vejez sin bonos","4949.29177672392"
"2002","11","Pensiones no contributivas por vejez con bonos","4949.29177672392"
"2002","11","Pensiones no contributivas para madres de 7 o más hijos sin bonos","9692.88919882735"
"2002","11","Pensiones no contributivas para madres de 7 o más hijos con bonos","9692.88919882735"
"2002","11","Jefes de hogar","325067.349927063"
"2002","12","Pensiones no contributivas por invalidez sin bonos","14111.4871913961"
"2002","12","Pensiones no contributivas por invalidez con bonos","14111.4871913961"
"2002","12","Pensiones no contributivas por vejez sin bonos","7409.90681684191"
"2002","12","Pensiones no contributivas por vejez con bonos","7409.90681684191"
"2002","12","Pensiones no contributivas para madres de 7 o más hijos sin bonos","14594.7723405207"
"2002","12","Pensiones no contributivas para madres de 7 o más hijos con bonos","14594.7723405207"
"2002","12","Jefes de hogar","380815.480970439"
"2003","1","Pensiones no contributivas por invalidez sin bonos","9311.38967542901"
"2003","1","Pensiones no contributivas por invalidez con bonos","9311.38967542901"
"2003","1","Pensiones no contributivas por vejez sin bonos","4932.26483477547"
"2003","1","Pensiones no contributivas por vejez con bonos","4932.26483477547"
"2003","1","Pensiones no contributivas para madres de 7 o más hijos sin bonos","9637.47965539268"
"2003","1","Pensiones no contributivas para madres de 7 o más hijos con bonos","9637.47965539268"
"2003","1","Jefes de hogar","0"
"2003","2","Pensiones no contributivas por invalidez sin bonos","9259.91548576094"
"2003","2","Pensiones no contributivas por invalidez con bonos","9259.91548576094"
"2003","2","Pensiones no contributivas por vejez sin bonos","4904.46652401374"
"2003","2","Pensiones no contributivas por vejez con bonos","4904.46652401374"
"2003","2","Pensiones no contributivas para madres de 7 o más hijos sin bonos","9603.52832973412"
"2003","2","Pensiones no contributivas para madres de 7 o más hijos con bonos","9603.52832973412"
"2003","2","Jefes de hogar","669737.769432531"
"2003","3","Pensiones no contributivas por invalidez sin bonos","9270.04744080211"
"2003","3","Pensiones no contributivas por invalidez con bonos","9270.04744080211"
"2003","3","Pensiones no contributivas por vejez sin bonos","4875.94207157249"
"2003","3","Pensiones no contributivas por vejez con bonos","4875.94207157249"
"2003","3","Pensiones no contributivas para madres de 7 o más hijos sin bonos","9623.84997299536"
"2003","3","Pensiones no contributivas para madres de 7 o más hijos con bonos","9623.84997299536"
"2003","3","Jefes de hogar","221609.577728048"
"2003","4","Pensiones no contributivas por invalidez sin bonos","9339.88815469091"
"2003","4","Pensiones no contributivas por invalidez con bonos","9339.88815469091"
"2003","4","Pensiones no contributivas por vejez sin bonos","4873.1769523712"
"2003","4","Pensiones no contributivas por vejez con bonos","4873.1769523712"
"2003","4","Pensiones no contributivas para madres de 7 o más hijos sin bonos","9678.76773910707"
"2003","4","Pensiones no contributivas para madres de 7 o más hijos con bonos","9678.76773910707"
"2003","4","Jefes de hogar","302841.032215745"
"2003","5","Pensiones no contributivas por invalidez sin bonos","9445.05258211121"
"2003","5","Pensiones no contributivas por invalidez con bonos","9445.05258211121"
"2003","5","Pensiones no contributivas por vejez sin bonos","4892.25073065048"
"2003","5","Pensiones no contributivas por vejez con bonos","4892.25073065048"
"2003","5","Pensiones no contributivas para madres de 7 o más hijos sin bonos","9774.26518725185"
"2003","5","Pensiones no contributivas para madres de 7 o más hijos con bonos","9774.26518725185"
"2003","5","Jefes de hogar","368247.437869035"
"2003","6","Pensiones no contributivas por invalidez sin bonos","14185.4976129405"
"2003","6","Pensiones no contributivas por invalidez con bonos","14185.4976129405"
"2003","6","Pensiones no contributivas por vejez sin bonos","7344.64821229707"
"2003","6","Pensiones no contributivas por vejez con bonos","7344.64821229707"
"2003","6","Pensiones no contributivas para madres de 7 o más hijos sin bonos","14693.9278505112"
"2003","6","Pensiones no contributivas para madres de 7 o más hijos con bonos","14693.9278505112"
